board_size,winNum,depth,nodes_minmax,nodes_alphabeta,node_reduction_percent,time_minmax,time_alphabeta,time_speedup,pruning_rate,effective_bf_minmax,effective_bf_alphabeta
4x4,3,4,1360.0,240.0,82.35294117647058,0.12804675102233887,0.0020020008087158203,63.95939025842563,16.083916083916083,6.072740553421622,3.9359793425308607
4x4,3,5,4948.0,382.0,92.27970897332256,0.44809699058532715,0.0025429725646972656,176.20991936996063,30.418943533697636,5.481329860005093,3.2840720193403357
4x4,4,4,1360.0,139.0,89.77941176470588,0.14952969551086426,0.001444101333618164,103.54515436684828,20.57142857142857,6.072740553421622,3.4336316230125203
4x4,4,5,5380.0,258.0,95.20446096654275,0.49416399002075195,0.0021767616271972656,227.01796276013144,27.52808988764045,5.573865119590991,3.03615501437834
5x5,4,4,3905.0,241.0,93.82842509603073,0.5337438583374023,0.0027740001678466797,192.4094542329179,18.855218855218855,7.90506161898008,3.9400729303224864
5x5,4,5,19525.0,489.0,97.4955185659411,2.6755530834198,0.004536867141723633,589.7358242682221,26.905829596412556,7.213037806461842,3.450339037296177
5x6,3,4,9330.0,1135.0,87.83494105037514,1.462965965270996,0.01087808609008789,134.48744137114804,14.533132530120483,9.828119104302003,5.804288160993218
5x6,3,5,52200.0,1898.0,96.3639846743295,8.236285924911499,0.013425111770629883,613.498499351791,31.94693438508426,8.780800308248466,4.52542364436664
5x6,4,4,9330.0,380.0,95.92711682743837,1.4580228328704834,0.004478931427001953,325.5291706590014,17.391304347826086,9.828119104302003,4.4151544355342685
5x6,4,5,55980.0,810.0,98.55305466237942,8.784203052520752,0.007751941680908203,1133.1616534415944,26.69683257918552,8.904439322093994,3.8167789096181766
6x7,4,4,19607.0,563.0,97.12857652879073,4.492097854614258,0.007668018341064453,585.8225234749083,16.095380029806257,11.833215867559234,4.87110059795621
6x7,4,5,137256.0,1248.0,99.0907501311418,29.907298803329468,0.013755083084106445,2174.272494063405,26.501766784452297,10.6538423897023,4.161433098523688
8x8,2,4,18184.0,206.0,98.86713594368676,5.643977165222168,0.003906965255737305,1444.5936413010313,23.134328358208954,11.612409855335825,3.78849575615538
8x8,2,5,67304.0,246.0,99.63449423511233,21.70504117012024,0.004050016403198242,5359.2477188438215,27.647058823529413,9.23864278242627,3.0073710962592606
8x8,4,4,37448.0,796.0,97.8743858149968,12.234618186950684,0.014142036437988281,865.1242160631195,14.957264957264957,13.91096176799973,5.3116355258368175
8x8,4,5,299592.0,1819.0,99.39284093033191,98.64812707901001,0.024932861328125,3956.550585220318,26.356275303643724,12.453919163210712,4.4871081770847745
8x8,7,4,37448.0,796.0,97.8743858149968,11.917726039886475,0.014085054397583008,846.1256665030384,14.957264957264957,13.91096176799973,5.3116355258368175
8x8,7,5,299592.0,1819.0,99.39284093033191,96.55741000175476,0.02532196044921875,3813.188563949985,26.356275303643724,12.453919163210712,4.4871081770847745
